label,diskUsage,forkCount,squashMergeAllowed,isArchived,isFork,C,Shell,C++,assign_,stargazer_,milestone,Ruby,Makefile,Python,JavaScript,HTML,CSS,Java,languageCounter,popularLanguageCounter,hasLanguage,description_len,has_description,has_issue,stargazer_non_zero,has_milestone,has_release,contributed
0,143,9,0,0,0,0.08163631324083283,0.055157908466893835,0.6053837249115485,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,49,0,0,0,0,0,0
0,108,1,0,0,0,0.0,0.0,0.0,2.0,10.0,0.0,0.03427143200079077,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,56,0,0,0,0,0,0
0,4623,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.005044874363925626,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,60,0,0,0,0,0,0
0,352,0,0,0,0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,91,0,0,0,0,0,0
0,1101,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.005208656201299497,0.0,0.0,0.0,0.0,0.0,2,1,0,96,0,0,1,0,0,0
1,17019,0,0,0,1,0.0,0.0005383967482258244,0.0,1.0,0.0,0.0,0.0,0.0,0.4579556613372856,0.0,0.0,0.0,0.0,3,2,0,62,0,0,1,0,0,0
0,120,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004731393313755154,0.0,0.0,0.0,0.0,0.0,2,1,0,59,0,0,0,0,0,0
0,2952,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,64,0,0,1,0,0,0
0,2667,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0007170497487300352,0.0,0.0,0.0,0.0,2,1,0,24,0,0,1,0,0,0
0,208,2,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,25,0,0,0,0,0,0
0,1173,0,0,0,0,0.0,0.008666206061226405,0.0,1.0,0.0,0.0,0.0,0.0,0.0121454830812798,0.008080213584448595,0.0014969676808516087,0.0,0.0,5,4,0,18,0,0,1,0,0,0
0,1147,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8221312999814022,0.011381811419006882,0.16648688859959085,0.0,3,3,0,70,0,0,1,0,0,0
0,502,0,0,0,1,0.6342020103737804,0.0008592375295589813,0.3211321604135958,1.0,0.0,0.0,0.0,0.0,0.012000280764939236,0.0,0.0,0.0,0.0,7,4,0,126,0,0,1,0,0,0
1,95,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15221947037530958,0.08306344065536292,0.0,3,2,0,74,0,0,0,0,0,0
0,575,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9854701174358592,0.0,0.0,2,1,0,38,0,1,0,0,0,0
